gen_scenario,dec_scenario,w_with_coal,w_con_coal,w_with_ng,w_con_ng,w_with_nuc,w_con_nuc
No Nuclear,No weights,0.0,0.0,0.0,0.0,0.0,0.0
No Nuclear,High w_with_coal,1.0,0.0,0.0,0.0,0.0,0.0
No Nuclear,High w_con_coal,0.0,1.0,0.0,0.0,0.0,0.0
No Nuclear,High w_with_ng,0.0,0.0,1.0,0.0,0.0,0.0
No Nuclear,High w_con_ng,0.0,0.0,0.0,1.0,0.0,0.0
Normal,No weights,0.0,0.0,0.0,0.0,0.0,0.0
Normal,High w_with_coal,1.0,0.0,0.0,0.0,0.0,0.0
Normal,High w_con_coal,0.0,1.0,0.0,0.0,0.0,0.0
Normal,High w_with_ng,0.0,0.0,1.0,0.0,0.0,0.0
Normal,High w_con_ng,0.0,0.0,0.0,1.0,0.0,0.0
Normal,High w_with_nuc,0.0,0.0,0.0,0.0,1.0,0.0
Normal,High w_con_nuc,0.0,0.0,0.0,0.0,0.0,1.0
