MATPOWER Index,EIA Plant Name,Match Type,POWERWORLD Plant Name
49,Rantoul,"Location, Capacity",RANTOUL 2
50,Rantoul,"Location, Capacity",RANTOUL 2
51,Rantoul,"Location, Capacity",RANTOUL 2
52,Rantoul,"Location, Capacity",RANTOUL 2
53,Rantoul,"Location, Capacity",RANTOUL 2
65,"Pioneer Trail Wind Farm, LLC","Location, Capacity, Fuel Type",PAXTON 1
67,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
68,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
69,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
70,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
71,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
72,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
73,Archer Daniels Midland Decatur,"Location, Capacity, Fuel Type",MOUNT ZION
76,Archer Daniels Midland Decatur,"Location, Capacity",BRIMFIELD
77,Archer Daniels Midland Decatur,"Location, Capacity",BRIMFIELD
78,Archer Daniels Midland Decatur,"Location, Capacity",BRIMFIELD
79,Archer Daniels Midland Decatur,"Location, Capacity",BRIMFIELD
90,Clinton LFGTE,"Location, Capacity",CLINTON 3
91,Clinton LFGTE,"Location, Capacity",CLINTON 3
92,Clinton LFGTE,"Location, Capacity",CLINTON 3
94,Tuscola Station,"Location, Capacity, Fuel Type",TUSCOLA 2
104,High Trail Wind Farm LLC,"Location, Capacity, Fuel Type",ELLSWORTH 1
105,High Trail Wind Farm LLC,"Location, Capacity, Fuel Type",ELLSWORTH 1
114,White Oak Energy LLC,"Location, Capacity, Fuel Type",NORMAL 2
115,White Oak Energy LLC,"Location, Capacity, Fuel Type",NORMAL 2
125,E D Edwards,"Location, Capacity, Fuel Type",BARTONVILLE
126,E D Edwards,"Location, Capacity, Fuel Type",BARTONVILLE
127,E D Edwards,"Location, Capacity, Fuel Type",BARTONVILLE
135,Powerton,"Location, Capacity, Fuel Type",PEKIN 1
136,Powerton,"Location, Capacity, Fuel Type",PEKIN 1
147,Rail Splitter Wind Farm,"Location, Capacity, Fuel Type",HOPEDALE 2
151,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 5
152,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 5
153,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 5
154,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 5
155,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 5
161,Interstate,"Location, Capacity, Fuel Type",SPRINGFIELD 4
164,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
165,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
166,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
167,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
168,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
169,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
170,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1
182,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 2
183,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 2
189,Clinton Power Station,"Location, Capacity",CLINTON 1
196,Gibson City Energy Center LLC,"Location, Capacity, Fuel Type",GIBSON CITY 1
197,Gibson City Energy Center LLC,"Location, Capacity, Fuel Type",GIBSON CITY 1
