No Cooling System_output,OC_output,RC_output,RI_output,coal_output,ng_output,nuclear_output,wind_output,w_with,w_con,w_emit,policy_label,scenario
228.6939999999998,0.0,319.7558999999998,120.74279999999975,44.68620000000003,165.60309999999976,308.7562999999999,150.14710000000008,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,average week
150.14710000000008,118.05859999999977,341.45630000000006,59.52640000000014,200.36779999999897,0.0,318.67350000000005,150.14710000000008,0.0,0.0,0.0,status quo,average week
229.61109999999977,0.0,192.21339999999984,247.3654000000009,286.3628000000004,232.67999999999984,0.0,150.14710000000008,0.03564453125,0.0,0.0,high water withdrawal penalty,average week
229.61109999999977,381.16780000000034,0.11510000000000001,58.29769999999995,381.4459000000001,137.54539999999974,0.0533,150.14710000000008,0.0,0.04345703125,0.0,high water consumption penalty,average week
218.77779999999984,27.729000000000077,322.6018999999998,100.08529999999973,44.68650000000002,155.68689999999967,318.67350000000005,150.14710000000008,0.0,0.0,0.00439453125,high emission penalty,average week
229.8973999999998,0.0,420.43600000000026,199.45370000000054,160.48690000000036,220.14279999999977,318.72400000000005,150.4334000000001,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,extreme load/climate
150.4334000000001,239.53139999999976,374.9480000000001,84.87640000000009,380.6317999999998,0.0,318.72400000000005,150.4334000000001,0.0,0.0,0.0,status quo,extreme load/climate
229.8973999999998,0.0,367.42969999999985,249.65920000000108,449.5380000000015,232.67999999999984,14.334900000000003,150.4334000000001,0.03564453125,0.0,0.0,high water withdrawal penalty,extreme load/climate
229.8973999999998,437.3911999999999,39.5367,142.95980000000012,519.6403000000005,178.1746999999996,1.5367,150.4334000000001,0.0,0.04345703125,0.0,high water consumption penalty,extreme load/climate
229.8973999999998,94.53679999999984,337.0608,188.28910000000064,160.48390000000072,220.14279999999977,318.72400000000005,150.4334000000001,0.0,0.0,0.00439453125,high emission penalty,extreme load/climate
229.61109999999977,0.0,192.21339999999984,247.3654000000009,286.36280000000033,232.67999999999984,,150.14710000000008,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,nuclear outage
150.14710000000008,331.3729000000001,91.2252,96.44320000000053,519.0413000000016,0.0,,150.14710000000008,0.0,0.0,0.0,status quo,nuclear outage
229.61109999999977,0.0,192.21339999999984,247.3654000000009,286.3628000000004,232.67999999999984,,150.14710000000008,0.03564453125,0.0,0.0,high water withdrawal penalty,nuclear outage
229.61109999999977,381.16780000000034,0.07360000000000001,58.33899999999998,381.49900000000036,137.54539999999974,,150.14710000000008,0.0,0.04345703125,0.0,high water consumption penalty,nuclear outage
229.61109999999977,175.7857000000002,36.812,226.9810000000007,286.36270000000053,232.67999999999984,,150.14710000000008,0.0,0.0,0.00439453125,high emission penalty,nuclear outage
186.2638999999998,0.0,326.7932000000001,156.1335,47.625000000000036,196.04169999999976,318.72400000000005,106.79989999999998,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,line outage
106.79989999999998,153.26440000000014,333.8244,75.30400000000009,243.66880000000063,0.0,318.72400000000005,106.79989999999998,0.0,0.0,0.0,status quo,line outage
186.2638999999998,0.0,230.48559999999998,249.65920000000108,285.9322000000009,232.67999999999984,40.996600000000015,106.79989999999998,0.03564453125,0.0,0.0,high water withdrawal penalty,line outage
186.2638999999998,419.1213000000004,0.0881,63.71759999999998,419.39970000000056,142.9379999999998,0.0533,106.79989999999998,0.0,0.04345703125,0.0,high water consumption penalty,line outage
186.2638999999998,30.884900000000037,320.91880000000003,131.12349999999972,47.625500000000045,196.04169999999976,318.72400000000005,106.79989999999998,0.0,0.0,0.00439453125,high emission penalty,line outage
229.8973999999998,0.0,420.43600000000026,199.45370000000054,160.48690000000036,220.14279999999977,318.72400000000005,150.4334000000001,0.002340655756920296,0.004995000125491499,0.0025781817418457226,water-emission policy,avoid temperature violation
150.4334000000001,238.85759999999974,375.6222000000001,84.87640000000009,380.6321999999998,0.0,318.72400000000005,150.4334000000001,0.0,0.0,0.0,status quo,avoid temperature violation
229.8973999999998,0.0,367.42969999999985,249.65920000000108,449.5380000000015,232.67999999999984,14.334900000000003,150.4334000000001,0.03564453125,0.0,0.0,high water withdrawal penalty,avoid temperature violation
229.8973999999998,424.6279999999997,46.23990000000001,149.02190000000013,514.6252999999999,183.19179999999955,1.5367,150.4334000000001,0.0,0.04345703125,0.0,high water consumption penalty,avoid temperature violation
229.8973999999998,94.53679999999984,337.0608,188.28910000000064,160.48390000000072,220.14279999999977,318.72400000000005,150.4334000000001,0.0,0.0,0.00439453125,high emission penalty,avoid temperature violation
